populate     填充
extrude      拉伸
glass        玻璃
noise        噪声
pinch        捏
purge        清除
relief       缓解
shear        剪断
tile         铺,瓦
vogue        时尚
wave         波浪
absurd       荒诞,荒谬
contrary     相反
decode       解码
appoint      任命
depict       描绘
dilate       膨胀
fortune      幸运
diminish     减,精简
fair         公平
digress      离题
forest       森林
dismay       沮丧
fragment     碎片
dispense     发放
elongate     拉长
forum        论坛
evade        逃避
exhale       发散
forecast     预测
overact      过度
forgive      原谅
irresolute   踌躇不决
impel        促使
enroll       注册
impulse      冲动
inborn       先天
fraud        舞弊,骗局
interlude    插曲
overdose     过量
faint        微弱
perspire     流汗
flood        洪水,水灾
perforate    穿孔
permeate     渗透
flour        面粉
perjury      伪证
pervert      反常
monopoly     垄断
neonatal     初生的
outlaw       取缔
postpone     推迟
friendship   友谊
precept      训诫
accuracy     准确性
accuse       指控,控告
fruit        水果
admit        承认
afford       给予
garage       车库
aisle        通道
alien        外人
fuel         燃料
ambition     志向
fund         基金,投资
annual       周年
gang         结伙
funeral      葬礼
anticipate   预料
anxiety      焦虑
apology      歉意
appeal       上诉,申诉
appreciate   欣赏
assess       评估
athlete      运动员,选手
auction      拍卖
average      平均
awake        苏醒
backyard     后院
bake         烤
balance      平衡
balloon      气球
ballot       选票
barrel       桶
basket       篮子
battle       战斗
beach        海滩
beef         牛肉
beer         啤酒
belief       信仰
belt         腰带
bench        长凳
blast        爆破,疾风
blend        混合,拌和
bless        保佑
blood        血液
blow         打击,吹
boast        自夸
boat         小船
boil         烧开
bomb         炸弹
bowl         碗
brain        大脑
brave        勇敢
breath       气息
bride        新娘
bright       光明
broker       经纪人
bulb         灯泡
bullet       子弹
ligature     捆
tie          捆,扎,绑
bundle       包,包裹,捆
bury         埋葬
cabin        客舱
cable        电缆
calm         冷静
camp         阵营
campus       校园
campaign     运动,征战
cancer       癌症
candle       蜡烛
candy        糖果
capital      首都
captain      队长
cargo        货物
carpet       地毯
carrot       胡萝卜
cartoon      动画片,漫画
carve        雕刻
casino       赌场
casual       随便
catalog      目录
cave         洞穴
cease        停止
century      世纪,百年
chairman     主席
champion     冠军
charge       收费
hair         头发
charity      丰富,和蔼
charm        魅力
chase        追逐
cheap        廉价
cheat        作弊,欺骗
cheer        欢呼,鼓舞
chemical     化学的
chest        胸部
chew         咀嚼
chocolate    巧克力
chronic      长期的
church       教会
citzen       公民
civil        国内的
clerk        书记,营业员
cliff        悬崖
climate      气候,趋势
climb        爬
clinic       诊所
cloth        布匹
coal         煤炭
coast        岸边
coat         外套
coin         硬币
cold         冷
colleague    同事
college      学院
colony       群体
comedy       喜剧
commodity    商品,货物
companion    伴侣
comply       执行,实现
compound     复合
comprise     包括
concede      承认
conceive     构想,设想
concentrate  集中
confess      承认,坦白
confront     面对
conscience   良心
conscious    意识,自觉
consecutive  随后的
consensus    共识,合意
conspiracy   阴谋
contend      抗衡
contest      竞赛,争夺
controversy  争议
convict      定罪,囚犯
corn         玉米
corridor     走廊
cottage      茅屋
cotton       棉花
counsel      法律顾问
courage      勇气
cousin       表姐
crack        裂纹
crazy        疯
credit       信用
crew         船员
crime        犯罪
crisis       危机
critic       评论家
crop         种植
crowd        人群,拥挤
crucial      关键
cruel        残忍
crush        粉碎
cure         治愈
curious      好奇
fellow       同伴
currency     货币
curtain      窗帘
custody      保管,拘留
cute         可爱,乖巧
daily        每日
damage       损伤
damn         咒骂
dance        舞蹈
dare         挑战
daughter     女儿
dawn         黎明
debate       辩论
debris       废墟
debt         债务
decade       年代
decent       正经,合适
defense      防御
degree       程度
delicate     精巧
delight      乐趣
democracy    民主
denial       拒绝
dense        稠密
deny         拒绝
deposit      存款,沉积
deputy       副,代表
desert       沙漠
fade         褪色
deserve      值得
desperate    殊死,危急
dessert      甜点
devil        魔鬼
devote       奉献
diary        日记
fare         车费,费用
dignity      尊严,体面
dilemma      困境
demension    尺寸
farm         农场
dinner       晚餐
diplomat     外交官
disaster     灾害
fatal        致命
discipline   纪律,训练
disclose     透露
fate         命运
discourage   阻碍
discourse    论述,演讲
disease      疾病
dismiss      解雇
disorder     紊乱,毛病
distant      遥远
flash        闪光,瞬间
diverse      多种
diversity    多样,差异
divine       占卜
flesh        果肉,肉体
division     部门
divorce      离婚
doctrine     主义,学说
domestic     国内
dominant     优势,主导
flame        火焰,焚烧
dough        金钱
drain        排水
drama        戏剧
dried        干的
drift        漂移,飘洒
drill        演练,操练
dust         灰尘
duty         责任,义务
earth        地
earthquake   地震
ease         缓解,放松
economy      经济
educate      教育
elaborate    阐述
elder        长老,年长的
elect        推选,选举
flee         逃跑,出走
elephant     象
elevator     电梯
eligible     合格
elite        杰出人物,精英
embrace      拥抱
emission     排放,发射
spread       传播
emotion      情感
empire       帝国
endure       忍受
film         电影,胶卷
enemy        敌人
engage       聘请,经营
gaze         凝视,目光
enhance      提高
fantasy      幻想
enormous     巨大
envelope     信封
equity       公平
essay        文章,尝试
fiction      小说
essence      本质
gate         大门
estimate     估计,预计
evidence     证据,表明
finance      金融
evident      明显,显然
evil         邪恶
exam         考试
faculty      学院
exceed       超过
excuse       原谅
exercise     练习,锻炼
exhibit      展览,陈列
fiber        纤维,构造
expense      费用
expert       专家
explode      爆炸
exploit      利用,开发
exposure     曝光
garden       花园
garlic       大蒜
gear         齿轮
generous     慷慨,大方
genius       天才
gentle       温和
genuine      真正
gesture      手势,比画
gift         礼物
glance       浏览
glory        荣耀
glove        手套
goat         山羊,色鬼
graduate     毕业
grape        葡萄
grass        青草
grave        严重
grief        哀痛
gross        重大的,合计
guilt        有罪
gut          胆量
handsome     英俊,标致
harm         危害,损害
trait        特征,特点
harmony      和谐,和睦
harsh        苛刻,严酷
harvest      收成
hat          帽子
haul         运输
hay          干草
hazard       冒险
heal         医治
heel         脚跟
invest       投资
hell         地狱
hero         英雄
highway      公路
holy         神圣
honest       诚实
honey        蜂蜜
honor        荣誉
hormone      激素
horror       恐怖
horse        马
hostage      人质
humor        幽默
hunger       饥饿
hurry        匆忙
impose       强加
incident     事件
income       收入,收益
infant       婴儿
infect       传染
injure       损伤,伤害
insist       咬定
inspire      启发
instinct     直觉
insurance    保险
join         联结,参加
joint        联合
intense      激烈
interfere    干扰
interior     室内
interrupt    打断
invade       入侵
island       岛
isolate      隔离
jar          罐
jazz         爵士乐
jet          喷射
joke         笑话
judge        法官
judgement    判决
judicial     司法
juice        果汁
jungle       丛林
junior       初级
justice      正义
kick         踢
king         国王
kingdom      王国
knee         膝盖
kneel        下跪
lake         湖泊
lamp         灯
landmark     里程碑
landscape    景观,风景
lane         车道
laser        激光
laugh        嘲笑
lawsuit      诉讼
lawyer       律师
leaf         叶子
league       联盟
lean         倾斜
lecture      演讲
legend       传说
legislative  立法
lemon        柠檬
lens         透镜,镜片
liberal      自由派,慷慨
liberty      自由
lifetime     寿命,一生
lift         电梯
lion         狮子
loan         贷款
lobby        前厅
lone         孤单
loss         损失
loud         高声
loyal        忠诚
lunch        午餐
lung         肺
magazine     杂志
analysis     分析
magnetic     磁性
mansion      大厦
marble       大理石
march        游行
marine       水兵
marriage     婚姻
mate         伴侣
mayor        市长
medicine     医学
melt         熔化
mental       心理
merchant     商人
merit        值得,优点
metal        金属
meter        仪表
mild         温和,柔和
milk         牛奶
ministry     服务,部
mouth        嘴巴
murder       谋杀
museum       博物馆
mutter       抱怨
mutual       相互
mystery      神秘
myth         神话
nail         钉子
nasty        讨厌
needle       指针
negotiate    谈判,交涉
neighbor     邻居,友好
nerve        神经
newspaper    报纸
norm         规范,标准
north        北方的
nose         鼻子
novel        小说,新颖
nuclear      核
nurse        护士
obstacle     障碍
occupy       占据
ocean        海洋
offense      罪行
office       办公室
onion        洋葱
opinion      意见
opponent     对手,敌对的
oppose       反对,相对
oral         口服
orbit        轨道
outfit       配备
outlet       出路,出口
oven         烤箱
overcome     克服
overlook     俯瞰,忽略
oversee      监视,监督
ownership    所有
oxygen       氧气
palace       宫殿
pale         苍白,范围
palm         手掌,托
panic        恐慌
pant         喘气
parade       游行
parish       教区
passion      表感,情
patience     忍耐
patron       顾客
peace        和平
peak         高峰,消瘦
peasant      农夫
peel         果皮
penalty      罚款
pension      养老金
perceive     察觉,感觉
persuade     劝说
piano        钢琴
pig          猪
pill         药丸
pillow       枕头
pilot        驾驶
pine         松树
pistol       手枪
planet       行星,地球
plant        事业
plate        盘子
plea         恳求
plot         情节,密谋
poem         诗歌
offhand      临时,不加思索
refresh      提神
intimate     亲密,暗示
odd          奇怪
exacerbate   加剧,恶化
slip         滑,溜走
frustration  挫败
milestone    里程碑
squash       压缩
quirk        怪癖,俏皮话
unfamiliar   陌生
minute       分钟,微型
shadow       阴影
dive         潜水,跳水
temporal     世俗的
dead         死,过世,绝对地
sophisticate 阅历,精致的
sword        剑,武力
summation    合计
poke         戳,刺
pole         极点
police       警察
poll         轮询,投票
pond         池塘
poor         贫困
porch        阳台
pork         猪肉
portrait     肖像,画像
pose         提出,假充
possess      具有
potato       马铃薯,土豆
pound        英镑
poverty      贫穷
powder       粉末
pray         祈祷
pregnant     怀孕的
premise      前提
premium      奖金,独特的
president    总统
pretend      假装
prevail      战胜
pride        自豪
prison       监狱
proclaim     宣布
profit       利润
profound     深刻,微妙
prominent    突出,显赫
prospect     前景,指望
protein      蛋白
protest      抗议,断言
proud        骄傲,得意
province     省
provision    规定,条款
provoke      惹,挑衅
pulse        脉息
punch        殴打
punish       惩罚
purchase     采购,采买
purse        钱包
pursue       追求,推行
pursuit      追赶
quiet        安静
rabbit       兔子
race         种族,赛跑
radar        雷达
radical      激进
rage         愤怒
rail         铁轨
rain         雨天
ranch        牧场
rape         强奸
ratio        比值
realm        领域,境界
rear         后部
rebel        反叛
recipient    接受者
recruit      招募
reform       改革
refuge       避难所
regime       政权
regret       后悔,遗憾
regulate     调节
reinforce    加强
rent         出租
rescue       拯救
research     研究
resign       辞职
resist       抵抗
resume       恢复
retail       零售
revenue      收入
reward       奖励
rhythm       韵律,旋律
ribbon       带子
ridge        岭,脊
rifle        步枪
riot         暴动,骚乱
ritual       仪式
rival        对手,对抗
river        河流
road         道路
rock         岩石
romance      虚构,冒险故事
rope         绳子
royal        皇族
ruin         废墟,毁灭
rumor        传闻,谣言
rural        乡村
sack         解雇
salt         盐
anyway       无论如何
plan         计划
rationale    合理,解释
applicable   可适用
destruct     毁坏
sanction     制裁
sand         沙
sandwich     三明治
satellite    卫星
sauce        调味汁,果酱
scandal      丑闻,丑事
scare        吓
scent        香味,香水
school       学校
science      科学,理科
score        评分,成绩
scream       惊叫
sculpture    雕塑
seat         座位
secret       秘密
sector       扇形
secular      世俗
seize        抢占,把握
senior       前辈
sensor       传感器
altitude     高度
amateur      业余
ample        充足
alcohol      酒精
anguish      烦闷
slack        松弛
slap         拍击
siege        围城
slim         苗条
slogan       口号
smash        粉碎
sorrow       悲哀
solo         独奏,独唱
starve       饿死
spill        洒,溢
steal        窃取
steer        驾驶
spray        喷雾
stern        严肃
stiff        僵硬
stock        股票
stomach      肠胃
stool        粪便,凳子
stain        弄脏,污点
stale        陈旧
stamp        邮票,盖章
strain       劳损,拉伤
staple       基本的
straw        稻草
street       街道
stroll       漫步
summon       召唤
sunset       日落
substance    物质,实质
survey       调查
suspend      暂停
tease        挑逗
sweat        流汗
swift        迅速
temper       脾气
temple       寺庙
tense        紧张,时态
tent         帐篷
tank         坦克
tide         潮汐
tissue       组织
thief        窃贼
toilet       厕所,卫生间
tolerant     宽容
thorn        刺,激怒
tongue       舌头
torment      折磨
torture      煎熬,拷打
toss         折腾
towel        毛巾
toxic        毒药,毒物
troop        部队
tramp        流浪汉,漫步
tuck         挤进,鼓声
tunnel       隧道
twelve       十二
twin         双胞胎
trap         陷阱
typhoon      台风
ugly         丑陋
uncle        叔叔
deep         深
pile         一堆
shallow      浅
tribe        部落
underground  地下,隐蔽
underneath   在...之下
valve        阀门
undertake    承担
vanish       消失
vanity       虚荣
vapour       烟雾
unfold       展开,滩开
vase         花瓶
vehicle      车辆,运输
veil         面纱
vein         静脉
velvet       丝绒
venture      冒险者,敢于
verb         动词
verbal       口头
verdict      定案
verge        边缘
verse        诗句
vessel       容器
uproar       骚动
vibrate      颤动
urban        城市的
urgent       紧急
victim       受害者
victory      胜利
viewpoint    主张
utilize      利用
utmost       极,莫大
thereby      从而
violate      违反,侵犯
utter        说出,绝对
violent      暴力,猛烈
violet       紫色
virgin       处女
waterfall    瀑布
visa         签证
weapon       武器
vital        有活力
weave        编织
voltage      电压
weep         哭泣
vowel        元音的
voyage       航程,游历
weld         焊接
welfare      福利
wage         工资
wagon        车皮
wet          湿
whip         鞭打,鞭
whirl        旋转
wreath       花圈,花环
wreck        破坏
wrench       扳手
wine         葡萄酒
yawn         打哈欠
yard         院落
withdraw     收回,退出
withhold     保留
wood         木材
cosy         舒适
coupon       优惠券
deduct       扣除
escort       护送
esteem       尊重
fringe       边缘
fume         冒烟
gauge        测量
giggle       傻笑
graze        擦伤
grim         严峻
grope        摸索
heave        举起
howl         号叫
hum          哼声
huddle       乱堆
hurl         摔
ideology     思想
impart       传授
indulge      放纵
inhale       吸入
isle         小岛
jug          瓶
junk         帆船,废物
lapse        失误
layman       外行
lease        出租
levy         征收
lofty        高远
mingle       混合
mug          杯
mute         无声
napkin       餐巾
oval         椭圆
abominable   可恶,讨厌
dissemble    掩饰
alkali       强碱
gradient     梯度
hypocrisy    假仁假义
cataclysm    激变
elegy        悲歌
abhor        痛恨
hilarious    滑稽的
elude        躲避
grotto       石窟
henpeck      怕老婆
beseech      恳求
evoke        激起,唤起
fray         磨损
immature     幼小,未成熟的
aerial       空气的
armory       军械库
coerce       胁迫,迫使
malignant    有害
insidious    阴险
sordid       污秽
imbibe       吸收,喝酒
flippant     轻佻
wield        挥舞
outbreak     暴发
miser        财迷,吝啬鬼
betide       发生于
obsolete     废弃的
reign        在位
prim         拘谨的
juxtapose    对比
nucleus      核心
boycott      抵制
crockery     陶器
manor        庄园
batter       连击
docile       温顺
peerage      贵族
congeal      冻结
sedate       稳重
granary      粮仓
drainage     引流
vicissitude  变迁
proscribe    禁止
pall         覆盖
foreman      领班
forgo        放弃
vehement     慷慨
upheaval     动荡
bide         居住
vigilant     警惕
sonata       奏鸣曲
aggrieve     侵害
polar        极性
relegate     贬谪
annal        记录
quiescent    静
arrival      到达
juridic      法律
becalm       安慰
adhere       坚持,固守
adherence    忠诚
exegesis     注释
entrench     保卫,侵犯
apogee       最高点
ampere       安培
robust       健壮
municipal    市政的
impair       削弱
workmanship  手艺
degenerate   退化,败类
overhang     悬垂
cosmos       宇宙
upturn       翻转
despond      沮丧
germinate    发芽,萌芽
inveigh      漫骂
figure       数字,图形
disfigure    变丑
extravagant  奢华
anode        正极
galore       丰富地
molt         蜕皮
cohesion     凝聚
disquiet     忧虑
frigid       寒冷
insinuate    暗示
parlance     发言
coddle       溺爱
recluse      遁世者
idolize      偶像化
beau         对象,情人
paraphrase   解码
abnormal     异常
pageant      盛会
recur        复发
bore         烦扰
battery      电池
mock         虚假,嘲笑
token        象征,表意的
threshold    门槛
brittle      易碎
mount        安装
cumbersome   累赘的,笨重
face         面对
arrangement  安排
respond      响应,解答
await        等待
payload      有效载荷
traverse     通过,障碍
lesson       课时,教训
pending      听候,未决定
delicious    美味,爽口
sour         酸
slot         跟踪,插槽
replacement  替代,配件,替身
hood         覆盖
dispatch     调度,发送
beverage     饮料
octopus      章鱼
root         根
active       积极,活跃
count        计数
county       县
truth        真相,实话
food         食品
fork         叉子
opportunity  机会,机遇
guidelines   方针
study        研究
fast         快速
hash         复述,搞糟
diverge      偏离
hatch        镶嵌
held         保持
grind        研磨
halt         停止
percentage   百分比
consciousness  意识
divert       转移
coconut      椰子
clash        冲突
stress       强调,重点
decision     决断
indeed       确实
inspiration  灵感
complement   补充
confidence   信任
bloat        肿
monkey       戏弄,猴
template     模板
drive        驱动,驾驶
concurrent   合流的,同时
indentation  缩进
strange      奇怪
craft        手艺
trim         修剪,准备
inverse      对立面
eject        喷射
approximate  近似,大概
criterion    标准
intuitive    直观的
drink        喝
ounce        两
bounce       弹跳
disgust      厌恶
pause        暂停
reiterate    重申
tendency     趋势
walk         步行
shed         棚
light        光
overlay      覆盖
mirror       镜子
intimidate   威吓,恐吓
net          网络
sophisticated  尖端,复杂的
physical     物理
pitfall      陷阱
pollute      污染
needless     不必要
annoy        搅扰
triple       三倍
slash        削减
contagious   传染性的
hamper       阻碍
mutable      易变的
unify        统一
backbone     骨干
vacuum       空间
bone         骨头
gist         要领
squiggle     抽搐
lax          放纵
relax        放松
dial         拨号
overwhelm    压倒
apparent     明显的
weed         野草
legit        合法的
convince     说服
complain     抱怨
aesthetic    审美的
domain       领域
spare        备用,简陋的
infrastructure  基础设施
novice       初学者
influence    影响,感染
season       调味,烘干,季节
consumption  消费
greet        迎接,打招呼
notion       概念
vanilla      香草
ratify       批准
dangerous    危险的
blind        盲人
disregard    漠视
collapse     崩溃
apart        隔开
fuss         计较
theory       理论
surface      表面
varied       多变
astute       精明
thumb        翻阅
realistic    实际
bulk         体积,大批
seamless     无缝
amaze        惊奇
daunt        吓住
recipe       食谱,烹饪法
tweak        拧,调整
caution      警告
heavy        沉重
bump         冲撞,撞击
bunch        捆
opinionated  自用,自以为是
magic        魔法
shortcut     捷径
ancestor     祖先
beforehand   预先
bring        带来
counter      计数器
parallel     平行
strip        脱掉,条,剥夺
advent       来临
impossible   不可能
cast         投射
tolerate     容忍
clarity      明晰
portion      分配,局部
land         降落,土地
wizard       巫师
dramatic     戏剧性
pinpoint     查明
exempt       免
breakdown    故障
spoil        溺爱
typography   活版,版式
spectrum     范围,系列
stream       流
agent        代理人
idle         空闲
ordinary     普通,平凡
finger       手指
thunder      雷声
room         房间
business     商业
afraid       害怕的
husband      丈夫
sick         生病
upset        烦恼
sweet        甜
hang         悬挂
frank        坦率
swear        发誓
apartment    房间
million      百万
wear         穿
buddy        伙伴
nick         缺口
thousand     千
tough        强硬
mess         困境,胡来
dress        连衣裙
enjoy        享受
spent        花费
aunt         姨妈
lord         主
soul         灵魂
promise      承诺
apologise    道歉
awful        可怕
chief        首
screw        螺旋
board        木板
idiot        白痴
drunk        醉
romantic     浪漫
amber        琥珀
bathroom     浴室
wind         风
bank         银行
brown        棕色
circle       圈
cow          牛
gas          气体
gold         黄金
inch         英寸
insect       昆虫
iron         铁
irony        讽刺
lady         女士
bacon        熏肉
autumn       秋季
witness      见证
princess     公主
roll         滚
nut          坚果
crap         废物
pressure     压力
neck         脖子
asleep       睡著的
camera       相机
freak        怪物
cream        奶油
wild         野生
band         乐队
grand        盛大
shirt        衬衫
harry        破坏
synopsis     简介,概要
intelligent  聪明,智能
upload       上载
switch       交换,开关
formal       正式,形式上
coexist      共存
undo         解开,废弃
polish       研磨,抛光
medium       中
tweet        鸣叫
dummy        虚设,假的
absent       缺席
blot         耻辱
canonical    典范
compact      紧凑
fancy        花俏,想象
distract     转移
eventually   终于,终究
approve      批准
delta        三角洲
thought      思想
hex          魔女,迷惑住
formula      公式
exclusive    独家
restore      恢复
shrink       收缩
bucket       桶
harness      套,马具
paste        粘
improper     不合适
prone        易于
apt          易于
travel       旅行
integrity    廉正
unpack       打包
transitive   过渡的
sensible     合理的
metric       测量的
pipeline     管道,传递途径
ongoing      前进,经常的
nifty        俏皮的
uglify       丑化
giant        巨人
primer       入门书
delay        延迟
undertaker   承揽者,殡仪馆
elapsed      过去
warrant      保证
concern      关心
circular     圆
south        南
anatomy      剖析
tap          敲打
progress     进展,促进
discrete     分离
trivia       琐事
coherent     相干
showdown     摊牌
evict        赶忙
federation   联盟
conduct      进行
somehow      不知何故
meticulous   细致
lay          放置,摆放
magical      神奇
mandate      要求
dispose      部署
bottleneck   瓶颈
squish       果汁
birth        出身,使命
era          时代,年代
mass         群众的
massive      长
rapid        快速,急剧
ingenious    巧妙,灵巧
conclusion   结论,结束
dig          挖
solid        固体
hassle       争论,麻烦
rudimentary  初步,低级
compel       迫使
weight       重量,衡量
artificial   虚假,武断的
boost        促进,鼓舞
latency      潜伏
hurt         伤害
stem         干
streamline   精简
overhead     高的
substantial  富裕的,坚实
worse        更坏
mangle       撕裂
sacrifice    牺牲
grade        等级
degrade      降级
vagrant      流浪汉
bleed        流血
scene        现场
prune        修剪,精简
tackle       抓住,处理
bailout      紧急
mime         模仿
incur        招引,招惹
matrix       矩阵,模型
journey      旅行
neat         整齐
abbreviate   简略
blame        责备
vigorous     积极,蓬勃
clap         鼓掌,拍
talent       天才,天赋
critical     严重,危急
proof        证明
weird        怪异,命运
stumble      绊倒,蹒跚
obey         服从,顺从
beneath      下面,在...下面
accordance   和谐,匹配
square       广场
prescribe    配药,规定
transaction  交易
comprehensive  全面,周全
precedent    先例
invert       倒置,颠倒
foreground   前景
cosmetic     化妆品
serious      严重,认真
deficiency   不足,欠缺
commercial   广告
health       健康
transport    运输,输送
storage      存储
attention    注意,关注
stability    稳定性
philosophy   哲学
disclaim     放弃
beneficial   有利
meanwhile    与此同时
draw         绘制
underpin     巩故
digest       消化
lazy         懒
rust         铁锈
stagnate     凝滞,停滞
kiosk        凉亭
region       地区
grammar      语法
disclosure   泄露
auxiliary    辅助的
alphabet     字母
almond       杏仁
virus        病毒
broadcast    广播
decline      下降
bust         破产,胸围
analyze      分析
analyse      分析
belong       属于
enlarge      放大
truncate     截短
circumstances  情况
tablet       片剂,门牌
preamble     前言
pitch        音调,野营
seek         寻求
aggressive   气势汹汹
court        法庭
courtesy     礼貌
inadvertent  非故意的
heinous      滔天
assault      突击
freedom      自由,直率
archives     档案
corrupt      腐败
compartment  包房
compartmentalize   划分
encompass    环绕,拥有
tailor       裁缝
adequate     充足
equation     方程
lawn         草坪
law          法律
gigantic     巨大
unveil       暴露
vast         辽阔,丰富
leeway       余地
waste        浪费
defend       防守,保卫
soon         不久,最近
loose        疏松
suffer       遭受
flaw         缺陷
evolve       发展
rinse        冲洗
pave         铺平
accommodate  容纳
brew         酿造
component    部件,组成的
central      中央
incubate     孵蛋,酝酿
upstream     逆来
sublime      升华,崇高
bulky        庞大的,笨重
carry        携带
statistics   统计
flaunt       炫耀
badge        徽章,证章
announce     宣布
dry          干燥
laundry      洗衣店
plenty       丰富
resort       娱乐场,采取
calendar     日历
nexus        关系
defeat       击败
stash        窝
